tconst	averageRating	numVotes
tt0000001	5.7	2043
tt0000002	5.7	273
tt0000003	6.5	2001
tt0000004	5.4	178
tt0000005	6.2	2760
tt0000006	5.0	183
tt0000007	5.4	855
tt0000008	5.4	2188
tt0000009	5.3	210
tt0000010	6.8	7537
